dia,hora,temperatura,humedad,presión
1,0,29,50,0.8217949501407091
1,1,5,47,0.8952481128081449
1,2,12,43,0.863320990652385
1,3,13,49,0.8595395820345114
1,4,17,60,0.896979324249979
1,5,15,50,0.9426933626426394
1,6,28,46,0.9188312104441932
1,7,19,44,0.8047809255508432
1,8,21,56,0.8774695855941546
1,9,4,45,0.9717433012551354
1,10,6,49,0.8350383324510975
1,11,14,56,0.8198182277582472
1,12,0,41,0.9575733201370529
1,13,27,41,0.8530323948773925
1,14,18,42,0.8945358344529529
1,15,16,49,0.8333634090854722
1,16,4,55,0.8722666365093592
1,17,24,46,0.9023944066356808
1,18,1,56,0.8802932793184133
1,19,23,46,0.8841381167503733
1,20,21,56,0.8776435382783595
1,21,29,50,0.8910802636140644
1,22,6,55,0.8331048815206872
1,23,12,43,0.90904220986508
2,0,29,57,0.8693068860638238
2,1,26,48,0.98226965953167
2,2,0,49,0.8558552502330403
2,3,9,46,0.9030663663810459
2,4,19,47,0.9746188304307515
2,5,10,41,0.8105162460272609
2,6,11,44,0.9647953419996302
2,7,26,55,0.8821349096533546
2,8,16,40,0.928562991103356
2,9,0,56,0.947093567490722
2,10,22,47,0.9316082460867386
2,11,24,45,0.8521116446959051
2,12,22,42,0.8741179914698669
2,13,25,57,0.8580155824801634
2,14,24,51,0.8344449046135386
2,15,26,52,0.8207303377434294
2,16,4,56,0.8184562455427796
2,17,17,43,0.9856942188071491
2,18,22,47,0.9426447544030236
2,19,0,42,0.9252418099958385
2,20,22,51,0.974758030758847
2,21,22,56,0.9612832336293484
2,22,8,56,0.9067099597022622
2,23,30,54,0.8690738141100882
3,0,21,46,0.8261738612204734
3,1,28,60,0.8353754809976237
3,2,12,55,0.9055565085861766
3,3,17,60,0.8671664036614126
3,4,13,45,0.8652334748709225
3,5,28,54,0.9008659755281282
3,6,15,42,0.897622765489367
3,7,10,56,0.9191817122756882
3,8,13,58,0.9480395995678553
3,9,28,54,0.930635482651488
3,10,1,46,0.9527266408681416
3,11,4,60,0.9998507829409672
3,12,0,56,0.9403255426851715
3,13,22,50,0.9838437105989429
3,14,8,40,0.9468179504481411
3,15,11,56,0.8994929979537847
3,16,17,47,0.8673934385361589
3,17,23,57,0.9074080107741122
3,18,2,57,0.9405193387355871
3,19,14,44,0.8418547776313836
3,20,14,54,0.8797624519652092
3,21,15,46,0.8734414256301932
3,22,2,51,0.9807537918452053
3,23,4,58,0.800585172050972
4,0,25,53,0.8066292606221999
4,1,0,40,0.8921681362431195
4,2,18,41,0.922174655840299
4,3,1,54,0.8336827201145152
4,4,29,58,0.9252672696494316
4,5,12,60,0.8645910535109418
4,6,15,50,0.9402123732566154
4,7,23,45,0.8046693204765611
4,8,27,58,0.9638214350956948
4,9,16,52,0.987189853202102
4,10,10,52,0.9252150217498532
4,11,13,42,0.9238295333409959
4,12,23,41,0.9683414346402701
4,13,21,56,0.888670407828318
4,14,2,43,0.9265985442144036
4,15,8,42,0.9493051551679939
4,16,3,47,0.9858611048565846
4,17,18,47,0.9653860573998458
4,18,25,52,0.9168555247716177
4,19,5,52,0.8399666483137377
4,20,21,53,0.9545245733422786
4,21,9,58,0.8280229181862884
4,22,12,47,0.9458415047714828
4,23,13,53,0.9705634293532658
5,0,25,44,0.9729688995130555
5,1,7,44,0.9436036968294002
5,2,12,49,0.9642587195284903
5,3,22,43,0.9092864588035632
5,4,9,59,0.8347254900951173
5,5,2,55,0.9091692444797687
5,6,24,48,0.8305979837861172
5,7,19,59,0.8926139450015241
5,8,25,54,0.9930760041274428
5,9,17,44,0.9040414844503909
5,10,19,40,0.8076260338945307
5,11,18,41,0.8967613598243589
5,12,22,48,0.831767010491591
5,13,27,59,0.8145329771808555
5,14,18,57,0.8165668801839463
5,15,21,52,0.8266630374240884
5,16,11,41,0.9625962248074464
5,17,22,53,0.99561886405495
5,18,3,48,0.9157796333906271
5,19,29,55,0.8053085236533344
5,20,27,41,0.8374470510564825
5,21,22,54,0.9667145633952567
5,22,15,40,0.8751719215636189
5,23,28,41,0.9107255859544993
6,0,16,42,0.900347854620931
6,1,7,56,0.9203000899644246
6,2,5,49,0.9117454026629579
6,3,7,58,0.9844066234899185
6,4,19,40,0.94212191832614
6,5,17,45,0.8214843994675292
6,6,29,48,0.8683687338711739
6,7,8,54,0.9440091352120691
6,8,5,58,0.8655366163845937
6,9,25,56,0.8325315535906103
6,10,15,57,0.9881942046635103
6,11,17,45,0.9771197723203736
6,12,6,56,0.9271069397343183
6,13,19,48,0.9280689309718324
6,14,17,58,0.9553707140452321
6,15,22,59,0.9305413594425538
6,16,4,50,0.9751860237825848
6,17,14,40,0.9923216269386987
6,18,20,56,0.8395089463190039
6,19,6,52,0.8179762641709111
6,20,8,49,0.880496821701733
6,21,28,60,0.9571337523786712
6,22,20,40,0.8399828742697996
6,23,10,48,0.9547258261429699
7,0,29,51,0.807170883095447
7,1,2,47,0.8427515169864662
7,2,20,57,0.8455327565922091
7,3,2,41,0.8480390818791806
7,4,3,44,0.8519150882422581
7,5,8,44,0.9174517429402512
7,6,0,59,0.8707461500697654
7,7,11,57,0.8669196991004929
7,8,27,47,0.8102364193117961
7,9,7,44,0.9459777058067554
7,10,19,60,0.8540373783105439
7,11,25,57,0.9497517985154181
7,12,6,58,0.8820521829564457
7,13,18,54,0.8396620834668208
7,14,30,40,0.8596851166036132
7,15,8,52,0.9940671354228688
7,16,27,44,0.9497153926476462
7,17,14,51,0.9625697680803993
7,18,6,55,0.850272194396707
7,19,19,48,0.843983430601982
7,20,14,42,0.9739948563906549
7,21,29,59,0.8738236991472732
7,22,23,56,0.8552025663638534
7,23,15,44,0.8076282076862181
8,0,8,60,0.9061072464821619
8,1,21,52,0.8070643504883319
8,2,1,59,0.974992945609128
8,3,25,40,0.8319354290586416
8,4,20,60,0.8587762224674039
8,5,17,52,0.96111596402837
8,6,13,48,0.8624818633787025
8,7,3,40,0.9284425014039954
8,8,15,55,0.8743157357963893
8,9,29,56,0.8745687999918806
8,10,25,44,0.9798743571747384
8,11,2,45,0.9770271228425884
8,12,3,54,0.9664031870753031
8,13,2,42,0.9626590999922267
8,14,15,59,0.8549335653103908
8,15,0,57,0.8398161008230303
8,16,24,47,0.9499557610021592
8,17,23,59,0.9535085470346238
8,18,27,58,0.8834828359117857
8,19,25,47,0.8697115187744597
